DateDay	Financial Crisis_unscaled	Depression_unscaled	Bailout_unscaled	Mortgage Crisis_unscaled	Wall Street_unscaled	Oil_unscaled	Stock Market_unscaled	Subprime_unscaled	loan_unscaled	core inflation_unscaled	debt_unscaled	Brent_unscaled	WTI_unscaled	metals_unscaled	inflation_unscaled	economics_unscaled	stocks_unscaled	gold_unscaled	silver_unscaled	S&P 500_unscaled
2006-07-04	0	84	0	0	36	68	37	0	54	0	21	57	0	55	12	92	43	95	77	56
2006-07-05	100	78	0	0	81	67	46	37	97	0	44	36	0	58	42	61	56	72	81	100
2006-07-06	0	77	0	0	48	73	45	0	83	100	49	74	0	59	47	70	80	70	82	0
2006-07-07	49	74	0	0	61	68	44	36	84	0	79	35	34	64	67	95	45	82	69	77
2006-07-08	0	72	0	0	32	83	16	0	74	0	53	19	0	9	61	80	36	100	96	0
2006-07-09	0	85	0	0	44	68	11	0	54	0	51	27	0	0	13	30	45	78	85	59
2006-07-10	0	82	0	0	43	76	31	0	100	0	80	37	0	41	70	60	62	81	81	72
2006-07-11	44	71	0	0	100	79	53	0	81	0	70	24	0	57	45	54	46	79	77	0
2006-07-12	0	86	0	0	89	77	41	0	78	0	100	56	0	81	61	72	63	85	66	0
2006-07-13	46	79	0	0	77	75	45	0	72	0	65	45	0	42	39	66	71	75	94	55
2006-07-14	48	76	0	0	53	88	55	0	89	0	66	65	100	89	91	79	66	86	74	77
2006-07-15	0	93	0	100	42	98	33	0	77	0	72	57	0	46	36	44	58	86	94	29
2006-07-16	0	85	0	0	49	81	39	0	68	0	54	40	0	0	51	83	50	83	98	0
2006-07-17	0	81	0	0	46	96	47	0	75	0	57	68	31	99	77	55	75	66	79	35
2006-07-18	0	64	0	0	68	100	27	33	77	97	63	44	0	63	98	50	77	78	77	71
2006-07-19	0	89	0	0	80	87	79	34	89	0	61	24	0	23	100	100	72	77	75	18
2006-07-20	0	67	100	0	64	87	35	0	85	0	54	62	0	66	86	69	84	78	87	0
2006-07-21	0	45	0	0	71	87	33	0	91	0	47	60	0	100	66	39	68	75	60	38
2006-07-22	0	62	0	0	41	64	37	0	76	0	37	100	48	36	36	71	52	84	69	83
2006-07-23	0	59	0	0	26	86	38	0	65	0	67	45	0	28	12	87	57	88	70	57
2006-07-24	0	74	0	0	46	81	41	0	92	0	66	71	60	63	75	72	63	71	82	70
2006-07-25	0	76	96	0	74	68	53	33	90	0	73	44	0	69	75	72	87	85	64	70
2006-07-26	0	58	0	0	76	73	65	100	86	98	59	44	0	87	61	77	60	73	78	70
2006-07-27	0	76	99	0	70	79	62	34	64	0	77	65	0	65	62	45	69	84	78	18
2006-07-28	0	65	0	0	60	89	40	36	81	0	37	47	33	44	66	43	100	79	75	76
2006-07-29	0	100	0	0	47	76	16	0	69	0	49	51	0	56	85	58	31	89	89	0
2006-07-30	0	90	0	0	27	89	22	0	68	0	42	39	0	19	12	80	58	93	83	0
2006-07-31	0	64	0	0	42	72	57	65	86	0	83	56	31	29	100	50	44	71	77	52
2006-09-01	0	44	0	0	61	81	71	0	67	0	80	64	0	34	15	55	70	81	86	58
2006-09-02	0	49	0	0	55	57	24	0	63	0	67	30	0	8	22	38	56	77	96	55
2006-09-03	0	42	0	0	24	82	25	0	55	0	34	65	0	34	69	16	52	92	87	29
2006-09-04	0	100	0	0	52	71	37	0	57	0	55	47	0	21	57	92	53	78	97	0
2006-09-05	0	50	0	0	82	100	33	0	91	95	66	71	0	85	40	53	69	76	81	35
2006-09-06	0	55	50	0	79	98	58	100	67	0	80	61	0	95	67	69	40	72	76	35
2006-09-07	0	58	0	0	63	91	78	0	100	0	72	67	100	92	68	45	65	62	81	52
2006-09-08	0	49	0	0	76	70	71	0	80	0	91	100	35	64	64	59	56	82	80	18
2006-09-09	0	40	0	0	52	73	23	0	56	0	60	65	0	31	41	18	46	68	90	0
2006-09-10	0	74	0	0	52	73	45	0	55	0	52	50	0	23	72	56	64	65	100	26
2006-09-11	0	64	0	100	85	81	51	50	73	0	58	23	33	50	67	62	47	71	79	34
2006-09-12	0	53	49	0	75	80	50	0	86	0	81	64	0	59	92	56	82	64	72	50
2006-09-13	0	63	0	0	80	91	65	0	79	0	87	86	0	53	71	68	100	80	90	17
2006-09-14	0	76	100	0	82	88	63	0	84	0	68	52	0	100	94	62	64	81	76	69
2006-09-15	0	55	53	0	69	84	43	53	75	0	100	49	0	47	49	37	63	87	82	54
2006-09-16	0	67	0	0	35	73	29	0	68	0	49	73	0	47	42	55	62	92	83	27
2006-09-17	0	71	78	0	22	74	29	0	65	0	41	65	0	30	41	60	68	93	75	52
2006-09-18	97	79	0	0	72	91	43	0	82	0	79	97	0	84	40	100	51	77	87	34
2006-09-19	95	61	0	0	62	75	32	97	91	0	93	63	0	57	58	70	75	83	74	33
2006-09-20	0	55	0	0	100	95	76	0	84	94	85	65	65	89	100	61	58	80	77	68
2006-09-21	100	64	0	0	77	95	63	51	86	0	76	76	0	86	34	53	79	74	79	0
2006-09-22	0	61	53	0	54	79	39	54	64	100	67	80	0	74	50	46	70	78	78	18
2006-09-23	0	65	0	0	47	70	28	77	45	0	82	50	0	30	31	21	46	66	94	0
2006-09-24	0	59	0	0	54	75	33	0	43	0	87	49	0	37	40	45	41	100	84	26
2006-09-25	0	74	0	0	77	74	50	0	75	0	81	37	0	49	78	49	84	74	73	100
2006-09-26	96	69	0	0	79	84	75	49	69	0	85	64	32	58	91	84	79	80	63	33
2006-09-27	96	67	0	0	77	80	100	49	76	0	85	55	0	63	78	51	91	87	64	66
2006-09-28	0	48	0	0	56	89	54	0	86	0	77	23	0	84	53	48	64	81	87	0
2006-09-29	0	77	0	0	68	80	46	53	85	0	77	74	0	74	42	65	72	77	58	36
2006-09-30	0	59	0	0	36	66	47	0	58	0	83	44	0	47	52	47	70	80	67	82
2007-04-01	0	57	0	0	45	95	46	20	69	0	53	46	0	44	32	64	56	91	92	51
2007-04-02	86	70	0	0	87	81	72	100	100	98	69	81	0	34	51	87	61	73	72	51
2007-04-03	42	82	67	0	73	86	41	98	80	0	74	46	0	67	17	83	51	79	74	100
2007-04-04	0	69	0	0	52	82	65	79	88	0	83	50	47	58	67	71	64	84	76	66
2007-04-05	0	65	0	0	63	80	66	41	84	100	70	39	0	43	43	62	81	82	73	51
2007-04-06	100	52	79	0	89	82	100	23	85	0	53	49	0	63	49	77	63	74	95	19
2007-04-07	0	44	0	0	38	78	25	41	76	0	46	53	0	38	32	50	50	83	70	51
2007-04-08	0	44	0	100	37	73	12	0	57	0	31	19	0	28	63	50	46	90	96	0
2007-04-09	0	82	0	60	62	84	63	0	75	0	74	81	0	59	46	72	72	96	71	51
2007-04-10	0	78	0	0	77	93	59	58	95	94	100	100	0	56	36	91	85	86	82	65
2007-04-11	41	75	66	0	100	84	49	6	94	0	80	82	46	57	49	69	76	83	71	16
2007-04-12	0	80	0	0	69	76	65	19	79	0	69	47	45	44	100	83	57	74	68	80
2007-04-13	0	67	0	0	44	73	22	34	90	0	70	47	48	47	39	100	68	84	71	34
2007-04-14	0	58	100	0	36	78	27	0	68	0	84	74	0	37	37	37	67	87	75	49
2007-04-15	0	67	0	0	66	97	42	28	59	0	61	43	0	17	71	58	66	97	88	47
2007-04-16	0	84	0	0	77	73	62	6	82	0	63	43	44	98	44	75	70	85	88	96
2007-04-17	40	60	0	0	89	94	55	19	85	0	75	40	90	44	52	86	100	85	63	79
2007-04-18	0	91	0	0	83	84	65	26	100	0	58	81	0	64	56	82	67	75	74	48
2007-04-19	0	81	0	0	46	94	76	46	88	0	60	65	0	50	42	60	74	75	64	17
2007-04-20	46	63	0	0	60	71	81	14	74	0	62	41	100	58	67	56	85	80	88	53
2007-04-21	0	63	0	0	28	87	26	32	75	0	55	85	0	0	46	65	66	100	100	53
2007-04-22	0	100	0	93	46	85	29	21	62	0	36	65	73	51	45	51	48	80	75	52
2007-04-23	83	72	0	0	52	80	45	26	93	0	80	33	45	92	65	72	69	79	70	80
2007-04-24	82	83	65	0	80	100	62	44	88	92	87	62	0	71	56	74	64	82	71	79
2007-04-25	41	74	65	0	75	82	70	31	87	92	84	54	45	71	87	80	78	78	84	79
2007-04-26	0	94	0	0	61	89	46	44	84	0	80	44	45	100	28	82	73	79	71	80
2007-04-27	0	71	0	0	72	91	62	21	92	0	57	59	0	64	82	85	85	92	60	68
2007-04-28	0	73	0	93	58	82	50	21	64	0	51	47	0	19	39	38	56	99	91	0
2007-04-29	66	65	0	92	57	84	29	10	77	0	56	47	0	19	71	73	32	90	85	26
2007-04-30	82	92	0	0	100	98	49	6	82	93	69	62	90	52	60	100	61	78	82	95
2007-06-01	0	85	0	0	79	100	67	85	81	0	66	79	47	61	77	66	70	67	59	100
2007-06-02	0	67	0	0	55	89	54	41	77	0	48	66	0	27	88	79	59	77	55	62
2007-06-03	0	97	0	0	43	93	59	41	58	0	50	30	0	40	55	64	72	88	76	81
2007-06-04	93	100	0	0	68	95	83	38	85	0	83	71	0	72	50	100	70	84	60	39
2007-06-05	93	75	32	0	100	89	97	38	83	0	72	56	42	58	54	90	67	81	57	26
2007-06-06	0	92	34	0	69	86	84	40	89	0	83	62	0	78	56	61	67	80	62	27
2007-06-07	0	75	0	0	70	89	100	41	80	0	86	56	0	58	48	83	95	88	65	69
2007-06-08	0	71	0	0	69	91	80	15	81	0	88	72	0	100	79	67	93	78	54	29
2007-06-09	0	76	0	0	72	88	50	63	65	0	62	31	0	27	65	67	79	88	75	64
2007-06-10	0	98	0	0	53	85	45	21	54	0	47	63	0	49	75	21	69	85	66	43
2007-06-11	0	85	0	0	89	87	97	53	80	0	54	58	0	48	77	61	65	91	66	40
2007-06-12	0	79	0	99	97	75	82	13	89	0	81	27	43	73	50	60	94	77	66	13
2007-06-13	0	78	0	0	60	98	93	79	96	61	100	96	43	78	91	80	62	87	68	93
2007-06-14	0	65	0	0	74	90	94	28	74	0	76	52	45	86	75	63	98	86	70	83
2007-06-15	0	61	39	0	64	85	88	15	83	71	78	71	100	60	53	44	91	87	76	30
2007-06-16	0	47	0	0	41	86	80	47	73	0	61	83	0	54	9	17	84	81	89	0
2007-06-17	0	52	0	0	38	79	72	0	64	0	51	94	0	40	19	42	68	89	100	25
2007-06-18	0	74	0	0	74	95	64	29	80	0	72	54	47	61	50	73	94	86	65	85
2007-06-19	0	47	0	0	96	87	67	100	87	0	60	82	0	65	60	65	81	87	71	56
2007-06-20	0	92	0	0	58	84	42	58	81	0	79	68	48	86	90	93	85	75	65	29
2007-06-21	0	75	38	0	57	76	63	75	90	0	85	82	0	58	57	97	96	87	58	45
2007-06-22	0	77	0	0	96	83	71	43	94	0	72	88	0	52	100	63	70	100	67	58
2007-06-23	0	60	0	0	41	89	22	64	78	0	54	55	0	35	90	47	50	77	59	43
2007-06-24	0	78	0	0	49	82	39	43	53	100	33	100	0	7	66	62	51	92	69	43
2007-06-25	0	81	0	100	91	86	66	26	89	0	68	46	0	69	46	64	100	91	61	26
2007-06-26	0	59	0	0	75	90	58	39	100	60	80	91	0	72	70	34	59	86	58	65
2007-06-27	0	60	100	0	98	70	48	52	88	0	90	81	0	65	25	74	72	61	49	93
2007-06-28	100	62	0	0	81	79	61	27	88	0	58	59	0	36	73	66	92	68	46	81
2007-06-29	0	47	0	0	61	92	53	72	72	0	83	60	0	53	45	63	76	68	57	0
2007-06-30	0	52	0	0	48	79	33	21	59	0	41	44	0	42	33	26	79	76	54	21
2007-07-01	0	75	0	0	40	91	11	27	57	0	35	45	0	16	20	31	50	95	96	0
2007-07-02	0	70	0	0	90	78	37	60	83	0	78	72	0	89	56	72	52	81	80	19
2007-07-03	0	78	0	0	66	87	49	43	82	0	73	66	0	46	57	46	58	87	81	38
2007-07-04	0	67	0	0	39	79	21	12	56	0	61	40	49	57	62	85	80	80	90	27
2007-07-05	0	100	0	0	67	84	28	46	82	0	62	48	0	96	100	59	69	71	91	31
2007-07-06	0	84	0	0	78	71	48	36	69	100	78	58	0	77	32	82	98	85	89	60
2007-07-07	0	59	0	0	19	85	32	0	58	0	76	48	0	82	56	24	58	83	90	28
2007-07-08	0	76	0	0	87	62	17	13	65	0	44	61	0	30	56	94	39	98	90	14
2007-07-09	0	91	0	0	100	84	39	24	89	0	73	42	0	52	59	100	64	78	75	100
2007-07-10	0	73	0	0	66	85	33	65	99	0	77	61	32	80	94	47	64	97	84	63
2007-07-11	0	65	0	0	67	78	33	50	86	0	76	70	66	86	60	60	89	87	82	55
2007-07-12	0	68	0	0	81	80	40	84	96	0	59	44	34	59	80	52	64	92	74	57
2007-07-13	0	74	55	0	65	96	51	18	78	100	71	62	35	72	64	41	78	94	70	29
2007-07-14	0	85	0	0	75	83	32	13	70	0	67	24	51	22	47	35	59	94	91	43
2007-07-15	0	80	0	0	69	85	30	26	64	0	60	49	0	8	57	40	80	100	100	0
2007-07-16	0	79	0	0	100	80	33	57	90	0	56	58	0	71	95	62	85	89	88	45
2007-07-17	62	63	0	0	99	87	29	48	97	0	100	84	0	56	59	71	92	97	80	54
2007-07-18	0	79	0	0	81	88	54	66	78	0	70	100	33	95	59	63	79	94	74	45
2007-07-19	64	77	0	0	78	79	38	100	72	0	78	86	100	48	48	96	63	95	68	55
2007-07-20	0	63	0	0	29	76	40	63	85	0	68	89	36	94	78	61	77	88	86	40
2007-07-21	0	63	0	0	46	81	23	39	58	0	60	62	0	46	28	80	65	97	92	15
2007-07-22	0	83	84	0	35	87	34	41	68	0	32	64	0	31	69	83	44	97	87	0
2007-07-23	63	50	0	0	71	85	47	49	94	0	77	54	33	100	48	85	39	84	80	9
2007-07-24	0	73	50	0	88	95	48	57	94	0	85	68	0	75	47	56	100	83	84	36
2007-07-25	0	86	0	0	72	94	41	91	83	0	88	85	33	62	59	78	94	83	90	37
2007-07-26	0	65	53	98	94	84	100	93	78	0	81	48	34	83	55	52	99	77	90	56
2007-07-27	67	72	54	100	88	74	84	87	73	0	66	33	0	56	63	53	58	91	86	49
2007-07-28	0	83	0	0	48	78	51	25	66	0	35	60	0	37	46	53	79	84	94	14
2007-07-29	100	91	0	0	15	89	27	52	67	0	59	61	0	30	38	69	64	95	94	0
2007-07-30	0	58	0	0	89	76	51	56	95	0	70	38	96	79	93	68	70	86	81	18
2007-07-31	0	74	100	0	77	100	59	81	100	90	61	56	0	46	75	83	94	83	80	45
2007-08-01	50	85	0	25	83	86	46	50	96	0	81	41	0	58	72	37	90	76	83	82
2007-08-02	0	61	98	0	57	80	43	70	87	100	73	85	0	100	67	39	87	84	92	97
2007-08-03	0	70	0	27	44	73	34	35	86	0	64	49	0	63	71	33	95	83	82	63
2007-08-04	0	46	0	0	41	100	40	7	67	0	46	59	0	31	69	41	40	95	87	55
2007-08-05	0	58	0	0	31	84	24	50	66	0	63	65	0	54	81	50	60	96	91	0
2007-08-06	0	75	47	0	48	92	51	40	100	0	77	82	0	72	58	45	81	84	92	58
2007-08-07	0	65	46	0	63	84	42	49	95	0	100	73	49	62	86	36	69	86	85	57
2007-08-08	0	57	0	25	76	84	25	49	88	0	73	78	0	72	79	57	76	68	85	81
2007-08-09	0	71	0	51	89	87	42	92	88	0	64	76	0	70	37	39	86	83	89	71
2007-08-10	0	58	50	27	100	80	72	96	79	0	66	75	0	62	93	60	100	83	91	62
2007-08-11	0	59	0	78	33	83	40	70	61	0	51	39	0	23	34	40	66	90	93	0
2007-08-12	0	70	0	40	31	92	41	58	65	0	65	85	0	23	69	61	70	100	100	0
2007-08-13	50	79	47	100	65	92	51	86	85	0	55	74	100	82	72	47	96	73	74	58
2007-08-14	0	79	93	0	65	84	40	58	81	0	88	57	49	67	57	57	68	77	72	46
2007-08-15	0	65	0	0	59	84	37	45	91	0	99	82	0	68	51	43	83	78	80	35
2007-08-16	0	46	0	0	76	74	100	77	83	99	80	75	0	59	81	44	81	79	72	59
2007-08-17	53	65	50	0	81	83	60	92	93	0	56	44	0	72	100	43	82	91	83	37
2007-08-18	0	74	0	38	37	81	25	35	68	0	34	70	77	7	34	33	56	86	85	35
2007-08-19	75	57	0	0	54	77	25	34	61	0	74	89	0	52	67	46	76	89	81	53
2007-08-20	48	81	0	24	49	84	51	92	88	0	87	64	0	66	99	59	66	84	85	57
2007-08-21	47	75	0	95	63	82	41	77	84	0	87	75	0	60	41	57	77	91	82	44
2007-08-22	0	67	0	24	62	75	36	75	84	0	86	77	0	85	78	46	89	76	79	57
2007-08-23	100	65	48	75	68	74	42	100	86	0	92	62	0	73	51	43	76	77	87	59
2007-08-24	0	62	100	53	58	78	31	43	80	0	74	100	0	97	61	48	73	77	91	85
2007-08-25	74	43	0	37	45	84	11	33	55	0	85	49	0	51	33	29	72	85	72	17
2007-08-26	0	65	0	37	24	83	19	40	56	0	35	30	0	43	96	39	46	89	75	35
2007-08-27	49	61	46	24	58	83	37	62	75	0	78	60	0	76	63	56	69	65	75	34
2007-08-28	0	72	0	24	67	97	32	43	90	0	79	75	0	60	90	100	70	84	76	100
2007-08-29	0	100	0	24	65	77	30	30	76	0	86	64	0	66	84	58	71	68	80	67
2007-08-30	0	72	0	50	55	92	45	72	84	97	93	74	0	82	87	66	74	80	82	0
2007-08-31	0	72	51	0	63	83	55	98	76	0	80	71	54	94	94	60	71	70	83	25
2007-09-01	0	41	100	100	18	83	14	40	54	0	49	64	0	20	39	30	61	81	73	100
2007-09-02	0	54	0	0	31	87	40	21	53	0	34	66	0	42	23	53	61	95	68	26
2007-09-03	0	52	0	0	56	90	25	63	59	0	36	30	0	47	44	40	69	96	73	44
2007-09-04	0	59	0	0	65	96	71	63	89	0	55	76	0	63	28	49	68	85	73	63
2007-09-05	0	73	0	30	65	96	48	31	92	0	62	60	51	57	17	86	73	74	71	62
2007-09-06	34	56	31	31	77	89	39	19	82	0	63	86	0	78	41	89	81	84	73	93
2007-09-07	0	79	0	32	55	87	70	51	84	100	51	86	0	52	29	60	68	86	79	80
2007-09-08	0	79	0	45	32	79	42	100	69	0	37	78	0	18	20	35	35	81	68	23
2007-09-09	0	100	44	0	39	81	31	27	54	0	42	83	0	48	55	72	57	90	81	0
2007-09-10	0	57	0	30	55	84	51	36	89	0	81	55	0	32	53	68	87	81	73	60
